element_id,bus_id,geo_x,geo_y,max_p_kw,alpha,beta,min_load_pct,agent_id,ip,type,profile,priority,loss_factor,zone
25,37,1775,2100,120,5,15,0,74,192.168.0.144,LOAD,d_profile_04,1,0.035,zone_a
26,38,2325,2100,60,5,15,0,75,192.168.0.145,LOAD,d_profile_04,1,0.04,zone_a
27,39,2650,2100,60,5,15,0,76,192.168.0.146,LOAD,d_profile_04,1,0.03,zone_a
28,41,2300,2575,60,5,15,0,77,192.168.0.147,LOAD,d_profile_04,1,0.04,zone_a
29,42,1975,2825,60,5,15,0,78,192.168.0.148,LOAD,d_profile_04,1,0.05,zone_a
30,43,2475,2825,120,5,15,0,79,192.168.0.149,LOAD,d_profile_04,1,0.035,zone_a
31,45,2175,3025,60,5,15,0,80,192.168.0.150,LOAD,d_profile_04,1,0.04,zone_a
32,46,2475,3025,60,5,15,0,81,192.168.0.151,LOAD,d_profile_04,1,0.03,zone_a
33,47,1975,3275,315,5,15,0,82,192.168.0.152,LOAD,d_profile_04,1,0.03,zone_a
34,48,1825,3275,180,5,15,0,83,192.168.0.153,LOAD,d_profile_04,1,0.04,zone_a
35,49,2225,3275,240,5,15,0,84,192.168.0.154,LOAD,d_profile_04,1,0.05,zone_a
36,50,2475,3275,120,5,15,0,85,192.168.0.155,LOAD,d_profile_04,1,0.035,zone_a
37,51,2725,3275,60,5,15,0,86,192.168.0.156,LOAD,d_profile_04,1,0.04,zone_a
38,52,2000,1500,120,5,15,0,87,192.168.0.157,LOAD,d_profile_04,1,0.03,zone_b
39,53,2200,1500,120,5,15,0,88,192.168.0.158,LOAD,d_profile_04,1,0.04,zone_b
40,55,2600,1500,60,5,15,0,89,192.168.0.159,LOAD,d_profile_04,1,0.05,zone_b
41,56,2875,1500,60,5,15,0,90,192.168.0.160,LOAD,d_profile_04,1,0.035,zone_b
42,58,2075,1850,60,5,15,0,91,192.168.0.161,LOAD,d_profile_04,1,0.04,zone_b
43,59,1825,1850,60,5,15,0,92,192.168.0.162,LOAD,d_profile_04,1,0.03,zone_b
44,60,3075,1850,60,5,15,0,93,192.168.0.163,LOAD,d_profile_04,1,0.04,zone_b
45,62,3075,2100,120,5,15,0,94,192.168.0.164,LOAD,d_profile_05,1,0.05,zone_b
46,63,3075,2275,120,5,15,0,95,192.168.0.165,LOAD,d_profile_05,1,0.035,zone_b
47,64,3075,2575,225,5,15,0,96,192.168.0.166,LOAD,d_profile_05,1,0.04,zone_b
48,65,3075,2825,420,5,15,0,97,192.168.0.167,LOAD,d_profile_05,1,0.03,zone_b
49,66,2650,2825,225,5,15,0,98,192.168.0.168,LOAD,d_profile_05,1,0.04,zone_b
50,68,3725,1850,60,5,15,0,99,192.168.0.169,LOAD,d_profile_05,1,0.05,zone_c
51,69,3925,1850,120,5,15,0,100,192.168.0.170,LOAD,d_profile_05,1,0.035,zone_c
52,70,4125,1850,60,5,15,0,101,192.168.0.171,LOAD,d_profile_05,1,0.04,zone_c
53,71,4325,1850,120,5,15,0,102,192.168.0.172,LOAD,d_profile_05,1,0.03,zone_c
54,73,3725,1500,120,5,15,0,103,192.168.0.173,LOAD,d_profile_05,1,0.04,zone_c
55,74,3975,1500,120,5,15,0,104,192.168.0.174,LOAD,d_profile_05,1,0.05,zone_c
56,75,4175,1500,120,5,15,0,105,192.168.0.175,LOAD,d_profile_05,1,0.035,zone_c
57,76,3525,1125,120,5,15,0,106,192.168.0.176,LOAD,d_profile_05,1,0.04,zone_c
58,77,3725,1125,120,5,15,0,107,192.168.0.177,LOAD,d_profile_05,1,0.03,zone_c
59,79,4125,1125,120,5,15,0,108,192.168.0.178,LOAD,d_profile_05,1,0.04,zone_c
60,80,3925,725,120,5,15,0,109,192.168.0.179,LOAD,d_profile_05,1,0.05,zone_c
61,82,4525,725,120,5,15,0,110,192.168.0.180,LOAD,d_profile_05,1,0.035,zone_c
62,83,4525,1125,60,5,15,0,111,192.168.0.181,LOAD,d_profile_05,1,0.04,zone_c
63,84,4325,500,60,5,15,0,112,192.168.0.182,LOAD,d_profile_05,1,0.03,zone_c
64,85,4525,500,120,5,15,0,113,192.168.0.183,LOAD,d_profile_05,1,0.03,zone_c
65,86,3525,850,60,5,15,0,114,192.168.0.184,LOAD,d_profile_04,1,0.04,zone_c
66,87,3255,850,120,5,15,0,115,192.168.0.185,LOAD,d_profile_05,1,0.05,zone_c
67,88,3255,1125,120,5,15,0,116,192.168.0.186,LOAD,d_profile_05,1,0.035,zone_c
68,90,2775,1125,120,5,15,0,117,192.168.0.187,LOAD,d_profile_05,1,0.04,zone_c
69,92,2550,1125,120,5,15,0,118,192.168.0.188,LOAD,d_profile_05,1,0.03,zone_c
70,94,2325,1125,120,5,15,0,119,192.168.0.189,LOAD,d_profile_05,1,0.04,zone_c
71,95,2025,850,60,5,15,0,120,192.168.0.190,LOAD,d_profile_05,1,0.05,zone_c
72,96,2025,1125,60,5,15,0,121,192.168.0.191,LOAD,d_profile_05,1,0.035,zone_c
73,98,3800,2325,120,5,15,0,122,192.168.0.192,LOAD,d_profile_05,1,0.04,zone_c
74,99,4000,2325,120,5,15,0,123,192.168.0.193,LOAD,d_profile_05,1,0.03,zone_c
75,100,4300,2325,120,5,15,0,124,192.168.0.194,LOAD,d_profile_05,1,0.04,zone_c
76,102,3725,2750,60,5,15,0,125,192.168.0.195,LOAD,d_profile_05,1,0.05,zone_c
77,103,3925,2750,120,5,15,0,126,192.168.0.196,LOAD,d_profile_05,1,0.035,zone_c
78,104,4125,2750,120,5,15,0,127,192.168.0.197,LOAD,d_profile_05,1,0.04,zone_c
79,106,3800,3000,120,5,15,0,128,192.168.0.198,LOAD,d_profile_05,1,0.03,zone_c
80,107,4000,3000,120,5,15,0,129,192.168.0.199,LOAD,d_profile_05,1,0.04,zone_c
81,109,3525,3500,120,5,15,0,130,192.168.0.200,LOAD,d_profile_05,1,0.05,zone_c
82,111,3975,4000,60,5,15,0,131,192.168.0.201,LOAD,d_profile_05,1,0.035,zone_c
83,112,4275,3500,60,5,15,0,132,192.168.0.202,LOAD,d_profile_05,1,0.04,zone_c
84,113,4600,3500,120,5,15,0,133,192.168.0.203,LOAD,d_profile_05,1,0.03,zone_c
85,114,4900,3500,60,5,15,0,134,192.168.0.204,LOAD,d_profile_05,1,0.04,zone_c
